time,BPM predicted,uncert,rPPG method
3.0,73.974609375,0.0,cupy_CHROM
4.0,78.369140625,0.0,cupy_CHROM
5.0,80.56640625,0.0,cupy_CHROM
6.0,83.49609375,0.0,cupy_CHROM
7.0,83.49609375,0.0,cupy_CHROM
8.0,57.861328125,0.0,cupy_CHROM
9.0,71.77734375,0.0,cupy_CHROM
10.0,45.41015625,0.0,cupy_CHROM
11.0,70.3125,0.0,cupy_CHROM
12.0,73.2421875,0.0,cupy_CHROM
13.0,78.369140625,0.0,cupy_CHROM
14.0,79.1015625,0.0,cupy_CHROM
15.0,77.63671875,0.0,cupy_CHROM
16.0,178.7109375,0.0,cupy_CHROM
17.0,153.076171875,0.0,cupy_CHROM
18.0,147.94921875,0.0,cupy_CHROM
19.0,147.94921875,0.0,cupy_CHROM
20.0,64.453125,0.0,cupy_CHROM
21.0,69.580078125,0.0,cupy_CHROM
22.0,74.70703125,0.0,cupy_CHROM
23.0,173.583984375,0.0,cupy_CHROM
24.0,44.677734375,0.0,cupy_CHROM
25.0,72.509765625,0.0,cupy_CHROM
26.0,41.748046875,0.0,cupy_CHROM
27.0,42.48046875,0.0,cupy_CHROM
28.0,81.298828125,0.0,cupy_CHROM
29.0,76.171875,0.0,cupy_CHROM
30.0,71.044921875,0.0,cupy_CHROM
31.0,71.044921875,0.0,cupy_CHROM
32.0,76.171875,0.0,cupy_CHROM
33.0,88.623046875,0.0,cupy_CHROM
34.0,90.087890625,0.0,cupy_CHROM
35.0,79.1015625,0.0,cupy_CHROM
36.0,79.1015625,0.0,cupy_CHROM
37.0,77.63671875,0.0,cupy_CHROM
38.0,74.70703125,0.0,cupy_CHROM
39.0,71.77734375,0.0,cupy_CHROM
40.0,68.84765625,0.0,cupy_CHROM
41.0,67.3828125,0.0,cupy_CHROM
42.0,65.185546875,0.0,cupy_CHROM
43.0,49.072265625,0.0,cupy_CHROM
44.0,45.41015625,0.0,cupy_CHROM
45.0,79.833984375,0.0,cupy_CHROM
46.0,80.56640625,0.0,cupy_CHROM
47.0,81.298828125,0.0,cupy_CHROM
48.0,76.904296875,0.0,cupy_CHROM
49.0,72.509765625,0.0,cupy_CHROM
50.0,73.2421875,0.0,cupy_CHROM
51.0,74.70703125,0.0,cupy_CHROM
52.0,70.3125,0.0,cupy_CHROM
53.0,64.453125,0.0,cupy_CHROM
54.0,65.185546875,0.0,cupy_CHROM
55.0,74.70703125,0.0,cupy_CHROM
56.0,77.63671875,0.0,cupy_CHROM
57.0,72.509765625,0.0,cupy_CHROM
58.0,69.580078125,0.0,cupy_CHROM
59.0,76.171875,0.0,cupy_CHROM
60.0,77.63671875,0.0,cupy_CHROM
61.0,75.439453125,0.0,cupy_CHROM
62.0,71.77734375,0.0,cupy_CHROM
63.0,71.044921875,0.0,cupy_CHROM
64.0,68.115234375,0.0,cupy_CHROM
65.0,62.98828125,0.0,cupy_CHROM
66.0,61.5234375,0.0,cupy_CHROM
67.0,74.70703125,0.0,cupy_CHROM
68.0,76.171875,0.0,cupy_CHROM
69.0,76.171875,0.0,cupy_CHROM
70.0,77.63671875,0.0,cupy_CHROM
71.0,75.439453125,0.0,cupy_CHROM
72.0,72.509765625,0.0,cupy_CHROM
73.0,69.580078125,0.0,cupy_CHROM
74.0,70.3125,0.0,cupy_CHROM
75.0,73.2421875,0.0,cupy_CHROM
76.0,76.171875,0.0,cupy_CHROM
77.0,77.63671875,0.0,cupy_CHROM
78.0,150.87890625,0.0,cupy_CHROM
79.0,146.484375,0.0,cupy_CHROM
80.0,70.3125,0.0,cupy_CHROM
81.0,73.2421875,0.0,cupy_CHROM
82.0,71.044921875,0.0,cupy_CHROM
83.0,71.77734375,0.0,cupy_CHROM
84.0,71.77734375,0.0,cupy_CHROM
85.0,73.2421875,0.0,cupy_CHROM
86.0,74.70703125,0.0,cupy_CHROM
87.0,77.63671875,0.0,cupy_CHROM
88.0,77.63671875,0.0,cupy_CHROM
89.0,73.2421875,0.0,cupy_CHROM
90.0,68.84765625,0.0,cupy_CHROM
