extraction,approach,BPM gt,time gt
convexhull,holistic,51.5,0
convexhull,holistic,55.0,1
convexhull,holistic,58.0,2
convexhull,holistic,56.5,3
convexhull,holistic,57.5,4
convexhull,holistic,59.5,5
convexhull,holistic,59.5,6
convexhull,holistic,57.0,7
convexhull,holistic,56.5,8
convexhull,holistic,59.5,9
convexhull,holistic,61.99999999999999,10
convexhull,holistic,61.49999999999999,11
convexhull,holistic,60.5,12
convexhull,holistic,61.49999999999999,13
convexhull,holistic,61.0,14
convexhull,holistic,57.0,15
convexhull,holistic,54.5,16
convexhull,holistic,55.49999999999999,17
convexhull,holistic,59.0,18
convexhull,holistic,61.0,19
convexhull,holistic,60.5,20
convexhull,holistic,61.0,21
convexhull,holistic,64.0,22
convexhull,holistic,65.5,23
convexhull,holistic,64.0,24
convexhull,holistic,62.50000000000001,25
convexhull,holistic,63.0,26
convexhull,holistic,61.99999999999999,27
convexhull,holistic,58.5,28
convexhull,holistic,59.0,29
convexhull,holistic,62.50000000000001,30
convexhull,holistic,62.50000000000001,31
convexhull,holistic,59.5,32
convexhull,holistic,60.0,33
convexhull,holistic,62.50000000000001,34
convexhull,holistic,61.99999999999999,35
convexhull,holistic,61.0,36
convexhull,holistic,62.50000000000001,37
convexhull,holistic,61.49999999999999,38
convexhull,holistic,58.0,39
convexhull,holistic,56.0,40
convexhull,holistic,57.5,41
convexhull,holistic,58.5,42
convexhull,holistic,59.0,43
convexhull,holistic,61.0,44
convexhull,holistic,62.50000000000001,45
convexhull,holistic,65.0,46
convexhull,holistic,67.5,47
convexhull,holistic,66.0,48
convexhull,holistic,64.0,49
convexhull,holistic,65.5,50
convexhull,holistic,65.0,51
convexhull,holistic,61.99999999999999,52
convexhull,holistic,61.99999999999999,53
convexhull,holistic,65.0,54
convexhull,holistic,65.5,55
convexhull,holistic,61.49999999999999,56
convexhull,holistic,58.5,57
convexhull,holistic,60.0,58
convexhull,holistic,64.0,59
convexhull,holistic,64.0,60
convexhull,holistic,60.0,61
convexhull,holistic,60.0,62
convexhull,holistic,62.50000000000001,63
convexhull,holistic,63.0,64
convexhull,holistic,63.0,65
convexhull,holistic,64.5,66
convexhull,holistic,62.50000000000001,67
convexhull,holistic,60.5,68
convexhull,holistic,62.50000000000001,69
convexhull,holistic,63.0,70
convexhull,holistic,61.49999999999999,71
convexhull,holistic,61.99999999999999,72
convexhull,holistic,65.0,73
convexhull,holistic,65.0,74
convexhull,holistic,61.99999999999999,75
convexhull,holistic,60.5,76
convexhull,holistic,61.49999999999999,77
convexhull,holistic,61.0,78
convexhull,holistic,59.5,79
convexhull,holistic,59.0,80
convexhull,holistic,58.0,81
convexhull,holistic,58.0,82
